window_number,query_registered_at,first_data_received_at,expected_window_close,last_chunk_received_at,interval_trigger_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,interval_wait_ms,computation_ms,result_value
26,1766065799669,1766065831338,1766067419669,1766085691274,1766085691274,1766085691283,18271614,18239945,0,9,54.621464704587865
9,1766067398569,1766067400021,1766067998569,1766085700059,1766085701104,1766085701122,17702553,17701101,1045,18,-12.352823757778486
42,1766064244241,1766064275754,1766066824241,1766085700059,1766085755755,1766085755775,18931534,18900021,55696,20,-12.777793275520207
35,1766064799124,1766064815625,1766066959124,1766085700059,1766085756352,1766085756366,18797242,18780741,56293,14,-12.777793275520207
24,1766065955257,1766065985718,1766067455257,1766085695547,1766085756861,1766085756869,18301612,18271151,61314,8,119.16666666666667
23,1766066122567,1766066135551,1766067562567,1766085695547,1766085757046,1766085757065,18194498,18181514,61499,19,119.16666666666667
16,1766066842813,1766066844329,1766067862813,1766085695547,1766085757122,1766085757144,17894331,17892815,61575,22,119.16666666666667
27,1766065799669,1766065831338,1766067479669,1766085691284,1766085763269,1766085763286,18283617,18251948,71985,17,53.15536364996498
10,1766067398569,1766067400021,1766068058569,1766088386378,1766088386378,1766088386387,20327818,20326366,0,9,-15.397711387762763
43,1766064244241,1766064275754,1766066884241,1766088386378,1766088386378,1766088386387,21502146,21470633,0,9,-15.397711387762763
36,1766064799124,1766064815625,1766067019124,1766088386379,1766088386379,1766088386389,21367265,21350764,0,10,-15.397711387762763
28,1766065799669,1766065831338,1766067539669,1766088386404,1766088386404,1766088386410,20846741,20815072,0,6,28.40132465277778
25,1766065955257,1766065985718,1766067515257,1766088386412,1766088386412,1766088386424,20871167,20840706,0,12,80
24,1766066122567,1766066135551,1766067622567,1766088386412,1766088386412,1766088386424,20763857,20750873,0,12,80
17,1766066842813,1766066844329,1766067922813,1766088386413,1766088386413,1766088386426,20463613,20462097,0,13,80
29,1766065799669,1766065831338,1766067599669,1766088451205,1766088451205,1766088451210,20851541,20819872,0,5,36.06408501995619
11,1766067398569,1766067400021,1766068118569,1766088455752,1766088455752,1766088455758,20337189,20335737,0,6,-11.442397642063
44,1766064244241,1766064275754,1766066944241,1766088455752,1766088455752,1766088455759,21511518,21480005,0,7,-11.442397642063
37,1766064799124,1766064815625,1766067079124,1766088455752,1766088455752,1766088455761,21376637,21360136,0,9,-11.442397642063
18,1766066842813,1766066844329,1766067982813,1766088455765,1766088455765,1766088455771,20472958,20471442,0,6,98.10526315789474
25,1766066122567,1766066135551,1766067682567,1766088455765,1766088455765,1766088455771,20773204,20760220,0,6,98.10526315789474
26,1766065955257,1766065985718,1766067575257,1766088455765,1766088455765,1766088455774,20880517,20850056,0,9,98.10526315789474
30,1766065799669,1766065831338,1766067659669,1766088512948,1766088512948,1766088512952,20853283,20821614,0,4,57.500030210310285
45,1766064244241,1766064275754,1766067004241,1766088515748,1766088515814,1766088515820,21511579,21480066,66,6,-12.234134547155374
38,1766064799124,1766064815625,1766067139124,1766088515748,1766088516413,1766088516435,21377311,21360810,665,22,-12.234134547155374
27,1766065955257,1766065985718,1766067635257,1766088515757,1766088516922,1766088516947,20881690,20851229,1165,25,115.66666666666667
26,1766066122567,1766066135551,1766067742567,1766088515757,1766088517107,1766088517125,20774558,20761574,1350,18,115.66666666666667
19,1766066842813,1766066844329,1766068042813,1766088515757,1766088517189,1766088517200,20474387,20472871,1432,11,115.66666666666667
12,1766067398569,1766067400021,1766068178569,1766088520003,1766088520003,1766088520009,20341440,20339988,0,6,-11.703473864019164
46,1766064244241,1766064275754,1766067064241,1766088580128,1766088580128,1766088580134,21515893,21484380,0,6,-12.039861359479056
39,1766064799124,1766064815625,1766067199124,1766088580128,1766088580128,1766088580134,21381010,21364509,0,6,-12.039861359479056
13,1766067398569,1766067400021,1766068238569,1766088580128,1766088580128,1766088580139,20341570,20340118,0,11,-12.039861359479056
31,1766065799669,1766065831338,1766067719669,1766088571321,1766088583327,1766088583344,20863675,20832006,12006,17,50.64296529586035
28,1766065955257,1766065985718,1766067695257,1766088592957,1766088592957,1766088592962,20897705,20867244,0,5,113.30434782608695
20,1766066842813,1766066844329,1766068102813,1766088592957,1766088592957,1766088592963,20490150,20488634,0,6,113.30434782608695
27,1766066122567,1766066135551,1766067802567,1766088592957,1766088592957,1766088592963,20790396,20777412,0,6,113.30434782608695
14,1766067398569,1766067400021,1766068298569,1766088620614,1766088641168,1766088641190,20342621,20341169,20554,22,-12.069351032832884
47,1766064244241,1766064275754,1766067124241,1766088620614,1766088695818,1766088695836,21571595,21540082,75204,18,-13.08770129560224
40,1766064799124,1766064815625,1766067259124,1766088620614,1766088696418,1766088696439,21437315,21420814,75804,21,-13.08770129560224
29,1766065955257,1766065985718,1766067755257,1766088624481,1766088696927,1766088696935,20941678,20911217,72446,8,119.4
28,1766066122567,1766066135551,1766067862567,1766088624481,1766088697111,1766088697125,20834558,20821574,72630,14,119.4
21,1766066842813,1766066844329,1766068162813,1766088624481,1766088697195,1766088697206,20534393,20532877,72714,11,119.4
32,1766065799669,1766065831338,1766067779669,1766088631174,1766088703330,1766088703336,20923667,20891998,72156,6,52.45903943802521
1,1766091535196,1766091566913,1766091655196,1766091596766,1766091596766,1766091597214,-57982,-89699,0,448,-10.767084449790795
1,1766091277226,1766091566913,1766091397226,1766091596766,1766091596766,1766091597214,199988,-89699,0,448,-10.767084449790795
1,1766089486272,1766091566913,1766089606272,1766091596766,1766091596766,1766091597214,1990942,-89699,0,448,-10.767084449790795
1,1766091006080,1766091566913,1766091126080,1766091596766,1766091596766,1766091597218,471138,-89695,0,452,-10.767084449790795
2,1766091006080,1766091566913,1766091186080,1766091656814,1766091666131,1766091666150,480070,-80763,9317,19,-12.465099666317991
2,1766091277226,1766091566913,1766091457226,1766091656814,1766091697279,1766091697316,240090,-49597,40465,37,-13.171933553072625
2,1766089486272,1766091566913,1766089666272,1766091656814,1766091706352,1766091706388,2040116,-40525,49538,36,-13.171933553072625
2,1766091535196,1766091566913,1766091715196,1766091656814,1766091715236,1766091715264,68,-31649,58422,28,-13.171933553072625
